Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,OBP+,SLG+,wRC+
Gleyber Torres,DET,2B,28,145,532,79,136,22,0,16,74,4,1,85,101,0,7,4,0.256,0.358,0.387,0.745,114,95,113
Gleyber Torres,DET,2B,28,145,532,79,136,22,0,16,74,4,1,85,101,0,7,4,0.256,0.358,0.387,0.745,114,95,113
Sal Frelick,MIL,OF,25,142,528,76,152,20,3,12,63,19,6,47,80,3,5,7,0.288,0.351,0.405,0.756,111,101,114
Sal Frelick,MIL,OF,25,142,528,76,152,20,3,12,63,19,6,47,80,3,5,7,0.288,0.351,0.405,0.756,111,101,114
Jo Adell,LAA,OF,26,152,526,63,124,18,1,37,98,5,1,33,151,0,1,10,0.236,0.293,0.485,0.778,94,120,112
Jo Adell,LAA,OF,26,152,526,63,124,18,1,37,98,5,1,33,151,0,1,10,0.236,0.293,0.485,0.778,94,120,112
Michael Busch,CHC,1B,28,155,524,78,137,25,5,34,90,4,0,56,139,0,2,10,0.261,0.343,0.523,0.866,108,130,140
Michael Busch,CHC,1B,28,155,524,78,137,25,5,34,90,4,0,56,139,0,2,10,0.261,0.343,0.523,0.866,108,130,140
Lenyn Sosa,CWS,1B,25,140,518,57,137,20,1,22,75,2,1,18,127,1,3,4,0.264,0.293,0.434,0.727,94,107,100
Lenyn Sosa,CWS,1B,25,140,518,57,137,20,1,22,75,2,1,18,127,1,3,4,0.264,0.293,0.434,0.727,94,107,100
Matt McLain,CIN,2B,26,147,510,73,112,18,0,15,50,18,2,55,167,3,4,5,0.22,0.3,0.343,0.643,94,85,77
Matt McLain,CIN,2B,26,147,510,73,112,18,0,15,50,18,2,55,167,3,4,5,0.22,0.3,0.343,0.643,94,85,77
Spencer Steer,CIN,1B,27,146,509,66,121,21,2,21,75,7,1,51,129,1,2,5,0.238,0.312,0.411,0.723,98,102,97
Spencer Steer,CIN,1B,27,146,509,66,121,21,2,21,75,7,1,51,129,1,2,5,0.238,0.312,0.411,0.723,98,102,97
Lars Nootbaar,STL,OF,28,135,509,68,119,24,1,13,48,4,5,64,119,1,3,6,0.234,0.325,0.361,0.686,102,90,96
Lars Nootbaar,STL,OF,28,135,509,68,119,24,1,13,48,4,5,64,119,1,3,6,0.234,0.325,0.361,0.686,102,90,96
Brandon Lowe,TB,2B,31,134,507,79,130,19,0,31,83,3,2,38,149,0,6,2,0.256,0.307,0.477,0.784,98,118,114
Brandon Lowe,TB,2B,31,134,507,79,130,19,0,31,83,3,2,38,149,0,6,2,0.256,0.307,0.477,0.784,98,118,114
Miguel Vargas,CWS,3B,26,138,504,80,118,32,2,16,60,6,0,56,100,0,3,6,0.234,0.316,0.401,0.717,101,99,101
Miguel Vargas,CWS,3B,26,138,504,80,118,32,2,16,60,6,0,56,100,0,3,6,0.234,0.316,0.401,0.717,101,99,101
Trevor Larnach,MIN,OF,28,142,503,62,126,24,1,17,60,4,4,53,122,0,6,4,0.25,0.323,0.404,0.727,103,100,102
Trevor Larnach,MIN,OF,28,142,503,62,126,24,1,17,60,4,4,53,122,0,6,4,0.25,0.323,0.404,0.727,103,100,102
Brenton Doyle,COL,OF,27,138,502,57,117,23,2,15,57,18,2,30,138,2,4,0,0.233,0.274,0.376,0.65,86,94,65
Brenton Doyle,COL,OF,27,138,502,57,117,23,2,15,57,18,2,30,138,2,4,0,0.233,0.274,0.376,0.65,86,94,65
J.T. Realmuto,PHI,C,34,134,502,57,129,26,1,12,52,8,2,35,129,0,3,9,0.257,0.315,0.384,0.699,99,96,94
J.T. Realmuto,PHI,C,34,134,502,57,129,26,1,12,52,8,2,35,129,0,3,9,0.257,0.315,0.384,0.699,99,96,94
Zach Neto,LAA,SS,24,128,502,82,129,29,1,26,62,26,9,33,149,2,3,14,0.257,0.319,0.474,0.793,102,117,116
Zach Neto,LAA,SS,24,128,502,82,129,29,1,26,62,26,9,33,149,2,3,14,0.257,0.319,0.474,0.793,102,117,116
Bryce Harper,PHI,1B,33,132,501,72,131,32,0,27,75,12,2,70,121,0,3,6,0.261,0.357,0.487,0.844,113,121,131
Bryce Harper,PHI,1B,33,132,501,72,131,32,0,27,75,12,2,70,121,0,3,6,0.261,0.357,0.487,0.844,113,121,131
Luis Rengifo,LAA,3B,28,147,501,55,119,16,3,9,43,10,7,33,104,1,3,3,0.238,0.287,0.335,0.622,92,83,73
Luis Rengifo,LAA,3B,28,147,501,55,119,16,3,9,43,10,7,33,104,1,3,3,0.238,0.287,0.335,0.622,92,83,73
Kyle Tucker,CHC,OF,28,136,500,91,133,25,4,22,73,25,3,87,88,1,3,4,0.266,0.377,0.464,0.841,119,115,136
Kyle Tucker,CHC,OF,28,136,500,91,133,25,4,22,73,25,3,87,88,1,3,4,0.266,0.377,0.464,0.841,119,115,136
Bryson Stott,PHI,2B,28,147,499,66,128,22,3,13,66,24,5,54,91,2,4,1,0.257,0.328,0.391,0.719,103,97,100
Bryson Stott,PHI,2B,28,147,499,66,128,22,3,13,66,24,5,54,91,2,4,1,0.257,0.328,0.391,0.719,103,97,100
George Springer,TOR,OF,36,140,498,106,154,27,1,32,84,18,1,69,111,0,4,8,0.309,0.399,0.56,0.959,127,138,166
George Springer,TOR,OF,36,140,498,106,154,27,1,32,84,18,1,69,111,0,4,8,0.309,0.399,0.56,0.959,127,138,166
Alec Burleson,STL,OF,27,139,497,54,144,26,2,18,69,5,1,39,79,1,4,3,0.29,0.343,0.459,0.802,108,114,124
Alec Burleson,STL,OF,27,139,497,54,144,26,2,18,69,5,1,39,79,1,4,3,0.29,0.343,0.459,0.802,108,114,124
Jonathan India,KC,2B,28,136,497,63,116,29,0,9,45,0,4,54,106,1,2,13,0.233,0.323,0.346,0.669,103,85,89
Jonathan India,KC,2B,28,136,497,63,116,29,0,9,45,0,4,54,106,1,2,13,0.233,0.323,0.346,0.669,103,85,89
Josh Smith,TEX,3B,28,144,495,70,124,23,2,10,35,12,3,55,100,3,1,8,0.251,0.335,0.366,0.701,107,90,100
Josh Smith,TEX,3B,28,144,495,70,124,23,2,10,35,12,3,55,100,3,1,8,0.251,0.335,0.366,0.701,107,90,100
Trent Grisham,NYY,OF,29,143,494,87,116,9,1,34,74,3,2,82,137,0,1,4,0.235,0.348,0.464,0.812,111,114,129
Trent Grisham,NYY,OF,29,143,494,87,116,9,1,34,74,3,2,82,137,0,1,4,0.235,0.348,0.464,0.812,111,114,129
Gavin Sheets,SD,OF,29,145,492,57,124,28,1,19,71,2,1,44,107,0,4,5,0.252,0.317,0.429,0.746,100,107,111
Gavin Sheets,SD,OF,29,145,492,57,124,28,1,19,71,2,1,44,107,0,4,5,0.252,0.317,0.429,0.746,100,107,111
Masyn Winn,STL,SS,23,129,491,72,124,27,0,9,51,9,5,34,102,2,2,8,0.253,0.31,0.363,0.673,98,90,91
Masyn Winn,STL,SS,23,129,491,72,124,27,0,9,51,9,5,34,102,2,2,8,0.253,0.31,0.363,0.673,98,90,91
Xander Bogaerts,SD,SS,33,136,491,63,129,30,0,11,53,20,2,48,94,1,8,4,0.263,0.328,0.391,0.719,104,97,104
Xander Bogaerts,SD,SS,33,136,491,63,129,30,0,11,53,20,2,48,94,1,8,4,0.263,0.328,0.391,0.719,104,97,104
Willson Contreras,STL,1B,33,135,490,70,126,31,1,20,80,5,1,44,142,1,4,23,0.257,0.344,0.447,0.791,108,111,124
Willson Contreras,STL,1B,33,135,490,70,126,31,1,20,80,5,1,44,142,1,4,23,0.257,0.344,0.447,0.791,108,111,124
Paul Goldschmidt,NYY,1B,38,146,489,76,134,31,1,10,45,5,1,36,100,0,2,4,0.274,0.328,0.403,0.731,105,99,103
Paul Goldschmidt,NYY,1B,38,146,489,76,134,31,1,10,45,5,1,36,100,0,2,4,0.274,0.328,0.403,0.731,105,99,103
Wyatt Langford,TEX,OF,24,134,489,73,118,25,1,22,62,22,6,74,151,0,5,5,0.241,0.344,0.431,0.775,110,106,118
Wyatt Langford,TEX,OF,24,134,489,73,118,25,1,22,62,22,6,74,151,0,5,5,0.241,0.344,0.431,0.775,110,106,118
Nolan Schanuel,LAA,1B,23,132,488,64,129,23,1,12,53,5,1,59,71,3,4,10,0.264,0.353,0.389,0.742,113,96,109
Nolan Schanuel,LAA,1B,23,132,488,64,129,23,1,12,53,5,1,59,71,3,4,10,0.264,0.353,0.389,0.742,113,96,109
Byron Buxton,MIN,OF,31,126,488,97,129,21,7,35,83,24,0,41,148,0,6,7,0.264,0.327,0.551,0.878,104,136,136
Byron Buxton,MIN,OF,31,126,488,97,129,21,7,35,83,24,0,41,148,0,6,7,0.264,0.327,0.551,0.878,104,136,136
Marcell Ozuna,ATL,DH,35,145,487,61,113,19,0,21,68,0,0,94,144,0,7,3,0.232,0.355,0.4,0.755,112,100,114
Marcell Ozuna,ATL,DH,35,145,487,61,113,19,0,21,68,0,0,94,144,0,7,3,0.232,0.355,0.4,0.755,112,100,114
Brooks Lee,MIN,SS,24,139,487,50,115,15,1,16,64,3,1,31,92,0,5,4,0.236,0.285,0.37,0.655,91,91,81
Brooks Lee,MIN,SS,24,139,487,50,115,15,1,16,64,3,1,31,92,0,5,4,0.236,0.285,0.37,0.655,91,91,81
Jacob Wilson,ATH,SS,23,125,486,62,151,26,0,13,63,5,2,27,39,2,1,7,0.311,0.355,0.444,0.799,113,110,121
Jacob Wilson,ATH,SS,23,125,486,62,151,26,0,13,63,5,2,27,39,2,1,7,0.311,0.355,0.444,0.799,113,110,121
