Name,Salary
Austin Wynns,"$914,332"
Tejay Antone,"$830,000"
Nick Lodolo,"$760,000"
Stuart Fairchild,"$750,000"
Brandon Williamson,"$742,500"
Matt McLain,"$742,500"
Andrew Abbott,"$742,500"
Christian Encarnacion-Strand,"$740,000"
Sam Moll,"$723,222"
Christian Roa,"$163,098"
Julian Aguiar,"$163,098"
Aroldis Chapman,"$10,500,000"
Bryan Reynolds,"$10,050,000"
Mitch Keller,"$7,500,000"
Andrew McCutchen,"$5,000,000"
David Bednar,"$4,510,000"
Paul Skenes,"$2,712,955"
Yasmani Grandal,"$2,500,000"
Connor Joe,"$2,125,000"
Ryan Borucki,"$1,600,000"
Oneil Cruz,"$1,238,928"
Luis Ortiz,"$993,813"
Bailey Falter,"$755,000"
Colin Holderman,"$755,000"
Jared Triolo,"$745,000"
Nick Yorke,"$740,000"
Joey Bart,"$712,062"
Carmen Mlodzinski,"$606,869"
Nick Gonzales,"$564,876"
Jalen Beeks,"$549,305"
Dennis Santana,"$429,624"
Isiah Kiner-Falefa,"$250,000"
Bryan De La Cruz,"$247,740"
Joshua Palacios,"$202,878"
Joey Wentz,"$96,360"
Billy Cook,"$83,538"
Isaac Mattson,"$39,780"
Liover Peguero,"$31,824"
Michael Burrows,"$7,956"
Ke'Bryan Hayes,"$7,000,000"
Marco Gonzales,"$3,000,000"
Johan Oviedo,"$765,000"
Dauri Moreta,"$755,000"
Endy Rodriguez,"$745,000"
Hunter Stratton,"$704,880"
Kyle Nicolas,"$620,568"
Daulton Jefferies,"$417,690"
Henry Davis,"$285,349"
Ben Heller,"$230,724"
Yoshinobu Yamamoto,"$55,000,000"
Will Smith,"$38,550,000"
Teoscar Hernandez,"$24,500,000"
Mookie Betts,"$22,000,000"
Freddie Freeman,"$20,000,000"
Chris Taylor,"$13,000,000"
Max Muncy,"$12,000,000"
Walker Buehler,"$8,025,000"
Joe Kelly,"$8,000,000"
Jack Flaherty,"$5,166,666"
Miguel Rojas,"$5,000,000"
Ryan Brasier,"$4,500,000"
Enrique Hernandez,"$4,000,000"
Evan Phillips,"$4,000,000"
Austin Barnes,"$3,500,000"
Tommy Edman,"$2,470,968"
Daniel Hudson,"$2,000,000"
Shohei Ohtani,"$2,000,000"
Kevin Kiermaier,"$1,840,000"
Gavin Lux,"$1,225,000"
Michael Kopech,"$1,016,129"
Blake Treinen,"$1,000,000"
Alex Vesia,"$1,000,000"
Andy Pages,"$608,634"
Anthony Banda,"$529,074"
James Outman,"$335,340"
Landon Knack,"$294,372"
Edgardo Henriquez,"$19,890"
Tyler Glasnow,"$25,000,000"
Clayton Kershaw,"$7,500,000"
Tony Gonsolin,"$5,400,000"
Brusdar Graterol,"$2,700,000"
Dustin May,"$2,135,000"
Gavin Stone,"$1,092,522"
Emmet Sheehan,"$750,000"
Connor Brogdon,"$711,834"
River Ryan,"$274,482"
Brent Honeywell,"$235,200"
Xander Bogaerts,"$25,000,000"
Joe Musgrove,"$20,000,000"
Yu Darvish,"$15,000,000"
Manny Machado,"$13,000,000"
Robert Suarez,"$13,000,000"
Fernando Tatis Jr.,"$11,000,000"
Jake Cronenworth,"$9,000,000"
Dylan Cease,"$8,000,000"
Wandy Peralta,"$3,350,000"
Yuki Matsui,"$3,250,000"
Michael King,"$3,150,000"
Jurickson Profar,"$2,500,000"
Kyle Higashioka,"$2,180,000"
Jackson Merrill,"$1,931,534"
Tanner Scott,"$1,838,700"
Martín Pérez,"$1,333,333"
Adrian Morejon,"$850,000"
Tyler Wade,"$850,000"
Donovan Solano,"$790,322"
David Peralta,"$698,924"
Jeremiah Estrada,"$620,568"
Matt Waldron,"$594,212"
Luis Arraez,"$592,796"
Bryan Hoeing,"$250,170"
Elias Diaz,"$150,537"
Brandon Lockridge,"$71,604"
Nick Ahmed,"$37,632"
Ha-seong Kim,"$7,000,000"
Luis Patino,"$749,400"
Stephen Kolek,"$740,000"
Jhony Brito,"$389,844"
Mason McCoy,"$155,142"
Jordan Montgomery,"$25,000,000"
Eduardo Rodriguez,"$14,000,000"
Ketel Marte,"$13,000,000"
Eugenio Suarez,"$11,000,000"
Christian Walker,"$10,900,000"
Zac Gallen,"$10,011,000"
Lourdes Gurriel Jr.,"$10,000,000"
Joc Pederson,"$9,500,000"
Merrill Kelly,"$8,000,000"
Corbin Carroll,"$3,535,533"
Scott McGough,"$3,000,000"
Josh Bell,"$2,250,000"
Randal Grichuk,"$1,500,000"
Ryan Thompson,"$1,350,000"
Kevin Ginkel,"$1,225,000"
Jake McCarthy,"$1,180,638"
Gabriel Moreno,"$1,113,259"
Geraldo Perdomo,"$1,063,498"
Ryne Nelson,"$1,038,861"
Brandon Pfaadt,"$1,026,183"
Kevin Newman,"$946,237"
Joe Mantiply,"$925,000"
Justin Martinez,"$754,050"
A.J. Puk,"$638,710"
Alek Thomas,"$591,591"
Pavin Smith,"$516,096"
Jose Herrera,"$397,800"
Brandon Hughes,"$167,076"
Paul Sewald,"$7,350,000"
Kyle Nelson,"$757,300"
Drey Jameson,"$749,700"
Bryce Jarvis,"$743,600"
Blake Snell,"$32,000,000"
Michael Conforto,"$18,000,000"
Matt Chapman,"$18,000,000"
Taylor Rogers,"$12,000,000"
Logan Webb,"$8,000,000"
Mike Yastrzemski,"$7,900,000"
LaMonte Wade Jr.,"$3,500,000"
Tyler Rogers,"$3,200,000"
Patrick Bailey,"$1,218,542"
Ryan Walker,"$1,129,815"
Tyler Fitzgerald,"$1,047,813"
Curt Casali,"$1,000,000"
Heliot Ramos,"$887,540"
Tristan Beck,"$747,500"
Sean Hjelle,"$743,750"
Erik Miller,"$740,000"
Camilo Doval,"$707,940"
Randy Rodriguez,"$580,788"
Austin Warren,"$523,611"
Brett Wisely,"$517,140"
Hayden Birdsong,"$326,196"
Spencer Bivens,"$298,350"
Casey Schmitt,"$286,416"
Luis Matos,"$278,460"
Jerar Encarnacion,"$230,724"
Grant McCray,"$182,988"
Donnie Walton,"$63,648"
Trevor McDonald,"$3,978"
Robbie Ray,"$23,000,000"
Jung-hoo Lee,"$12,000,000"
Jordan Hicks,"$8,083,333"
Wilmer Flores,"$6,500,000"
Tom Murphy,"$4,000,000"
Mark Canha,"$3,709,680"
Keaton Winn,"$743,750"
Kyle Harrison,"$743,750"
Kyle Freeland,"$15,000,000"
Charlie Blackmon,"$14,500,000"
Antonio Senzatela,"$12,000,000"
Ryan McMahon,"$12,000,000"
Cal Quantrill,"$6,550,000"
Ezequiel Tovar,"$3,485,706"
Brendan Rodgers,"$3,200,000"
Austin Gomber,"$3,150,000"
Jacob Stallings,"$1,500,000"
Brenton Doyle,"$1,226,750"
Jake Cave,"$1,000,000"
Ryan Feltner,"$986,935"
Sam Hilliard,"$800,000"
Nolan Jones,"$745,000"
Justin Lawrence,"$745,000"
Victor Vodnik,"$742,000"
Anthony Molina,"$740,000"
Michael Toglia,"$574,416"
Jordan Beck,"$572,832"
Hunter Goodman,"$572,832"
Jake Bird,"$568,710"
Aaron Schunk,"$369,954"
Angel Chivilli,"$310,284"
Drew Romo,"$175,032"
Jeff Criswell,"$155,142"
Luis Peralta,"$147,186"
Seth Halvorsen,"$119,340"
Jaden Hill,"$95,472"
Kris Bryant,"$27,000,000"
Germán Márquez,"$10,000,000"
Daniel Bard,"$9,500,000"
Dakota Hudson,"$1,500,000"
Tyler Kinley,"$1,300,000"
Lucas Gilbreath,"$760,000"
